Source,Target,Type
1,1695,Undirected
1,761,Undirected
1,773,Undirected
1,1469,Undirected
1695,1,Undirected
1695,1217,Undirected
1695,2041,Undirected
1695,718,Undirected
3,4,Undirected
3,148,Undirected
3,234,Undirected
3,1778,Undirected
4,3,Undirected
4,1580,Undirected
4,1776,Undirected
4,1999,Undirected
4,2017,Undirected
5,88,Undirected
5,708,Undirected
5,1259,Undirected
5,1280,Undirected
5,1777,Undirected
88,5,Undirected
88,89,Undirected
88,411,Undirected
88,1408,Undirected
7,8,Undirected
7,2009,Undirected
7,1791,Undirected
7,848,Undirected
8,7,Undirected
8,576,Undirected
8,1008,Undirected
8,2067,Undirected
2009,7,Undirected
2009,1398,Undirected
2009,60,Undirected
2009,2028,Undirected
2009,1715,Undirected
1791,7,Undirected
1791,1683,Undirected
1791,849,Undirected
1791,2088,Undirected
11,12,Undirected
11,13,Undirected
11,1603,Undirected
11,556,Undirected
11,2074,Undirected
12,11,Undirected
12,313,Undirected
12,574,Undirected
12,687,Undirected
12,1869,Undirected
13,11,Undirected
13,329,Undirected
13,1597,Undirected
13,1638,Undirected
1603,11,Undirected
1603,583,Undirected
1603,110,Undirected
1603,2112,Undirected
15,16,Undirected
15,576,Undirected
15,263,Undirected
15,1900,Undirected
16,15,Undirected
16,732,Undirected
16,1069,Undirected
16,1221,Undirected
16,1526,Undirected
16,1702,Undirected
16,1781,Undirected
576,15,Undirected
576,577,Undirected
576,8,Undirected
576,846,Undirected
576,1626,Undirected
18,1032,Undirected
18,2003,Undirected
18,1763,Undirected
18,1865,Undirected
1032,18,Undirected
1032,1005,Undirected
1032,1586,Undirected
1032,2055,Undirected
1032,2068,Undirected
2003,18,Undirected
2003,1069,Undirected
2003,1382,Undirected
2003,355,Undirected
1763,18,Undirected
1763,779,Undirected
1763,1075,Undirected
1763,53,Undirected
1763,748,Undirected
1865,18,Undirected
1865,1394,Undirected
1865,298,Undirected
1865,1608,Undirected
23,24,Undirected
23,273,Undirected
23,385,Undirected
23,678,Undirected
24,23,Undirected
24,335,Undirected
24,919,Undirected
24,2051,Undirected
25,1812,Undirected
25,27,Undirected
25,1836,Undirected
25,1766,Undirected
1812,25,Undirected
1812,794,Undirected
1812,1386,Undirected
1812,817,Undirected
27,25,Undirected
27,1398,Undirected
27,1527,Undirected
27,1546,Undirected
1836,25,Undirected
1836,770,Undirected
1836,1794,Undirected
1836,1110,Undirected
1836,1611,Undirected
1836,2044,Undirected
1766,25,Undirected
1766,687,Undirected
1766,577,Undirected
1766,1103,Undirected
30,1393,Undirected
30,32,Undirected
30,1968,Undirected
30,1962,Undirected
1393,30,Undirected
1393,1144,Undirected
1393,1463,Undirected
1393,723,Undirected
1393,1864,Undirected
32,30,Undirected
32,1651,Undirected
32,1661,Undirected
32,1892,Undirected
1968,30,Undirected
1968,820,Undirected
1968,632,Undirected
1968,1385,Undirected
1968,655,Undirected
1962,30,Undirected
1962,1318,Undirected
1962,1919,Undirected
1962,1431,Undirected
35,36,Undirected
35,37,Undirected
35,462,Undirected
35,1339,Undirected
35,1467,Undirected
36,35,Undirected
36,117,Undirected
36,842,Undirected
36,1222,Undirected
36,1547,Undirected
36,1761,Undirected
37,35,Undirected
37,940,Undirected
37,1128,Undirected
37,1628,Undirected
37,1641,Undirected
38,39,Undirected
38,2101,Undirected
38,41,Undirected
38,373,Undirected
39,38,Undirected
39,593,Undirected
39,1312,Undirected
39,1719,Undirected
39,1814,Undirected
2101,38,Undirected
2101,1372,Undirected
2101,1591,Undirected
2101,300,Undirected
2101,112,Undirected
41,38,Undirected
41,47,Undirected
41,342,Undirected
41,1346,Undirected
41,1928,Undirected
42,1090,Undirected
