,,,,,,,,,,
name,type,PG comment,product breakdown,analysis or comment if misssing,"move out from table
0 -> no
10 -> obvious we should",,Current column size,Resulting column size,expected gain on data size,expected gain on Index size
,,,,Threadshold to compute gain:,8,,466.0037229,375.865204,19.34%,#ERROR!
id,bigint,,,,0,,26916503816,26916503816,,
patient_id,bigint,,,,0,,18575603864,18575603864,,
start_date,timestamp without time zone,,,"strong debate around timezone support, recurring perf issue around ruby, json conversion, lot of specific cast in db to bypass conversion
maybe storing start_date and start_time and timezone in separate column would have been better",0,,26916503816,26916503816,,
end_date,timestamp without time zone,,,"- same comment as start_date
+ end_date should be in the same day

maybe storing a duration instead of end_date would have been smarter ",0,,26916503816,26916503816,,
created_at,timestamp without time zone,,,,0,,26916503816,26916503816,,
updated_at,timestamp without time zone,,,,0,,26916503816,26916503816,,
visit_motive_id,bigint,,,,0,,25643362192,25643362192,,
status,character varying(255),,"source=patient status=temporary
ONLINE BOOKING BY PATIENT / BOOK & EDIT APPOINTMENT
soure=doctor
APPOINTMENT BY HCP / MANAGE APPOINTMENT STATUS",,0,,27652193753,27652193753,,
source,character varying(255),,,,0,,24863371624,24863371624,,
deleted_at,timestamp without time zone,,APPOINTMENT BY HCP / MANAGE APPOINTMENT STATUS,,0,,12314144192,12314144192,,
agenda_id,bigint,,CALENDAR / CREATE RESOURCE BY HCP,,0,,26916503816,26916503816,,
import_identifier,character varying(255),,"MY DOCTOLIB / IMPORTS / PATIENTS AND APPOINTMENTS
MY DOCTOLIB / EXTERNAL SYNCHRONISATION / EXTERNAL SYNC MESSAGES PROCESSES AND MONITORING",,0,,9549931789,9549931789,,
lab_tech_agenda_id,bigint,,CALENDAR / CREATE RESOURCE BY HCP,,0,,93288464,93288464,,
equipment_agenda_id,bigint,,CALENDAR / CREATE RESOURCE BY HCP,,0,,1606383344,1606383344,,
master_step,boolean,,APPOINTMENT BY HCP / MULTIPLE APPOINTMENTS,,0,,3364562977,3364562977,,
master_step_appointment_id,bigint,,APPOINTMENT BY HCP / MULTIPLE APPOINTMENTS,,0,,45598784,45598784,,
appointment_set_id,bigint,Link toward the first appointment of the set the appointment belongs to,APPOINTMENT BY HCP / MULTIPLE APPOINTMENTS,,0,,939670072,939670072,,
is_host_appointment,boolean,True if host appointment in case of a multiple practitioner appointment,APPOINTMENT BY HCP / MULTIPLE APPOINTMENTS,,0,,197599,197599,,
host_appointment_id,bigint,"In the case of a multiple practitioner appointment, refers to the host appointment",APPOINTMENT BY HCP / MULTIPLE APPOINTMENTS,,0,,797808,797808,,
read_only,boolean,,?,,0,,2491251099,2491251099,,
new_patient,boolean,,,,0,,2461606485,2461606485,,
insurance_sector,character varying,,,,0,,1833930223,1833930223,,
patient_expected_at,timestamp without time zone,,NOTIFICATIONS TO PATIENTS,"the start_date seen from the patient point of view.
Can be different from start_date if the patient has combined appointments (steps).
We always needs to rely on patient_expected_at instead of start_date in notifications or patient apps",2,,26904788160,26904788160,,
hospital_stay_type,character varying,,owned by HAPI but no clear feature in product beeakdown,only for a small set of appointments (hospital appointments only),2,,670093831,670093831,,
custom_fields_values,hstore,,ONLINE BOOKING BY PATIENT / BOOK & EDIT APPOINTMENT,"used to stock HCP specific information during the booking
",2,,25769721811,25769721811,,
imported_at,timestamp without time zone,,MY DOCTOLIB / IMPORTS / PATIENTS AND APPOINTMENTS,,2,,2597611664,2597611664,,
medical_record_id,bigint,,,,2,,326335648,326335648,,
created_by,bigint,,,very few use cases,5,,19193565512,19193565512,,
anonymized_at,timestamp without time zone,The date on which this appointment has been anonymized,DOCTOLIB TEAM / SECURITY / DATA RETENTION POLICY,deprecated ?,5,,1674660104,1674660104,,
encounter_id,bigint,,,"low number of encounters, could be a reverse association",5,,10640840,10640840,,
tanker_encrypted_notes,,features: EDIT APPOINTMENT,,,8,,36888817517,0,,
